,Intenção,Sentença
0,Consultar saldo da conta,Qual o meu saldo
1,Interagir com a luz ou o ar-condicionado,Ligue a luz
2,Consultar saldo da conta,Me diga meu saldo
3,Consultar saldo da conta,Qual o meu saldo?
4,Interagir com a luz ou o ar-condicionado,está muito claro
5,Obter informações relativas ao clima,vai chover?
6,Obter informações relativas ao clima,Qual o clima amanhã?
7,Interagir com a luz ou o ar-condicionado,aumente a temperatura
8,Obter informações relativas ao clima,Qual a temperatura?
9,Interagir com a luz ou o ar-condicionado,"Foxbot, apague a luz"
10,Interagir com a luz ou o ar-condicionado,estou com frio
11,Obter informações relativas ao clima,vai fazer sol hoje?
12,Interagir com a luz ou o ar-condicionado,Desligue a luz
13,Interagir com a luz ou o ar-condicionado,Acenda a luz
14,Interagir com a luz ou o ar-condicionado,FoxBot Bom Dia (liga as luzes)
15,Interagir com a luz ou o ar-condicionado,deixe o ambiente mais quente
16,Interagir com a luz ou o ar-condicionado,"Foxbot, apaga a luz aí"
17,Interagir com a luz ou o ar-condicionado,diminua a temperatura
18,Interagir com a luz ou o ar-condicionado,Ligar Luz
19,Consultar saldo da conta,quanto estou devendo no banco
20,Obter informações relativas ao clima,"Foxbot, vai tá quente hoje?"
21,Interagir com a luz ou o ar-condicionado,Qual a temperatura do ar condicionado?
22,Interagir com a luz ou o ar-condicionado,desligue todos os dispositivos
23,Consultar saldo da conta,FoxBot quanto tem na minha conta?
24,Obter informações relativas ao clima,Vai fazer frio hoje?
25,Consultar saldo da conta,saldo
26,Obter informações relativas ao clima,qual a previsão do tempo?
27,Consultar saldo da conta,Quanto dinheiro tenho em minha conta?
28,Consultar saldo da conta,"Foxbot, qual é o meu saldo"
29,Consultar saldo da conta,extrato
30,Consultar saldo da conta,quanto dinheiro eu tenho
31,Consultar saldo da conta,qual era o meu saldo ontem?
32,Obter informações relativas ao clima,vai chover?
33,Consultar saldo da conta,FoxBot saldo da conta
34,Obter informações relativas ao clima,Está chovendo?
35,Obter informações relativas ao clima,Qual a previsão do tempo para hoje?
36,Obter informações relativas ao clima,Devo usar um casaco?
37,Consultar saldo da conta,"Foxbot, quanto tenho na conta?"
38,Interagir com a luz ou o ar-condicionado,quantos graus está o ar condicionado?
39,Interagir com a luz ou o ar-condicionado,ligue a luz
40,Obter informações relativas ao clima,FoxBot esta calor?
41,Obter informações relativas ao clima,está nublado hoje
